ID,Direction,Angle,Length,Longitude,Latitude,wingcm,lengthpixels,pixelspercm
AR2513,RW,2.279,804.637,-59.76166667,-29.49416667,0.766320952,804.637,1050
CA0121,RW,1.883,1156.624,-117.0575,32.745,0.767946374,1156.624,1506.126
AR0606,RW,-3.27,1191.941,-61.01166667,-34.99416667,0.781055709,1191.941,1526.064
AR1106,RW,0.964,1188.168,-60.30722222,-33.25138889,0.782685853,1188.168,1518.065
CA0502,RW,3.865,1186.7,-117.8727778,34.07444444,0.784798959,1186.7,1512.107
AR2901,RW,7.873,1197.285,-59.20555556,-28.34055556,0.785468036,1197.285,1524.295
AR2611,RW,4.445,1135.415,-59.64833333,-29.12666667,0.787240548,1135.415,1442.272
CA0124,RW,20.082,1188.242,-116.9822222,32.71527778,0.787734267,1188.242,1508.43
AR1905,RW,-2.69,1193.315,-60.15916667,-31.20027778,0.787964169,1193.315,1514.428
AR1214,RW,-0.971,826.119,-60.68777778,-32.90972222,0.788229592,826.119,1048.069
AR1606,RW,-5.844,1198.227,-60.76277778,-31.66444444,0.788290123,1198.227,1520.033
AR1410,RW,10.373,1199.607,-60.97583333,-32.23222222,0.788680178,1199.607,1521.031
AR2714,RW,10.339,1203.541,-59.47805556,-28.72916667,0.790489621,1203.541,1522.526
CA0519,RW,3.782,1182.575,-118.1308333,34.14694444,0.793513664,1182.575,1490.302
AR2704,RW,5.776,1212.155,-59.40555556,-28.60777778,0.794088726,1212.155,1526.473
AR2002,RW,9.042,1209.023,-60.00388889,-30.79638889,0.794567731,1209.023,1521.611
AR1601,RW,0.758,1210.106,-60.77361111,-31.68055556,0.795042784,1210.106,1522.064
AR1008,RW,16.075,1213.446,-60.39805556,-33.67638889,0.796224409,1213.446,1524
AR2007,RW,3.294,835.38,-59.99583333,-30.74472222,0.797081813,835.38,1048.048
AR2314,RW,4.811,1216.285,-59.8225,-29.89055556,0.798043284,1216.285,1524.084
AR2716,RW,-5.645,1219.916,-59.47777778,-28.72666667,0.798363373,1219.916,1528.021
AR1107,RW,3.411,1210.144,-60.28888889,-33.26805556,0.800325383,1210.144,1512.065
AR1210,RW,0.283,1214.015,-60.64611111,-32.93333333,0.801702044,1214.015,1514.297
CA0317,RW,9.022,1198.833,-117.1513889,33.52166667,0.803420138,1198.833,1492.162
AR1604,RW,7.786,1225.297,-60.76361111,-31.69361111,0.80390096,1225.297,1524.189
AR2209,RW,166.326,1226.77,-59.97972222,-30.32222222,0.803909555,1226.77,1526.005
CA0205,RW,9.572,1202.745,-117.0622222,33.10833333,0.804888038,1202.745,1494.301
AR2912,RW,-0.396,1158.028,-59.35277778,-28.48972222,0.805192602,1158.028,1438.2
AR1510,RW,0.279,1232.015,-60.9375,-31.97416667,0.809464709,1232.015,1522.012
AR2907,RW,6.653,1173.905,-59.26166667,-28.355,0.809570672,1173.905,1450.034
AR2515,RW,11.529,1230.834,-59.75777778,-29.46611111,0.809759211,1230.834,1520
AR2006,RW,8.589,1165.067,-59.99888889,-30.76333333,0.810171413,1165.067,1438.05
AR2603,RW,11.348,1168.852,-59.63861111,-29.13861111,0.810464568,1168.852,1442.2
AR1511,RW,4.079,1237.134,-60.93583333,-31.96444444,0.810812192,1237.134,1525.796
